"","ref_musee","telephone1","sitweb","region","departement","osm_id","name","number","street","postal_code","city","country","country_code","status","lat","lon","payant.2018","gratuit.2018","total.2018","payant.2017","gratuit.2017","total.2017","payant.2016","gratuit.2016","total.2016","payant.2015","gratuit.2015","total.2015","payant.2014","gratuit.2014","total.2014","payant.2013","gratuit.2013","total.2013"
"1","0126901","0474750750","www.musees.ain.fr","AUVERGNE-RHÔNE-ALPES","AIN",138473284,"Musée de la Résistance et de la Déportation de l'Ain","3","Montée de l'Abbaye","01130","Nantua","France","fr","open",46.1525,5.60827747048556,7851,5096,12947,1764,2433,4197,786,244,1030,3893,1979,5872,7149,4270,11419,7206,3373,10579
"2","1458201","0231310003","www.lintercom.fr","NORMANDIE","CALVADOS",329998597,"Château de Saint-Germain de Livet",NA,"D 268","14100","Saint-Germain-de-Livet","France","fr","open",49.0890928,0.214375676022239,9104,6868,15972,8835,7193,16028,8638,7968,16606,10387,7880,18267,10572,6559,17131,9535,8421,17956
"3","7662401","0235045398","www.musee-horlogerie-aliermont.fr","NORMANDIE","SEINE-MARITIME",1826563,"Association de l'Horlogerie Aliermontaise",NA,NA,"76510","Saint-Nicolas-d'Aliermont","France","fr","open",49.878403,1.2140639,3532,1309,4841,3666,1323,4989,2807,3472,6279,4048,2516,6564,4955,2524,7479,5081,2382,7463
"4","3155509","0567738484","www.museum.toulouse.fr","OCCITANIE","HAUTE-GARONNE",134123637,"Muséum d'Histoire Naturelle",NA,"Allée des Justes des Nations","31400","Toulouse","France","fr","open",43.59334975,1.44953003599785,168455,137341,305796,164336,125526,289862,137034,130549,267583,139251,134681,273932,144037,150530,294567,124863,118569,243432
"5","6604902","0468873192","www.musee-ceret.com","OCCITANIE","PYRENEES ORIENTALES",2004488993,"Musée départemental d'Art Moderne",NA,"Boulevard du Maréchal Joffre","66400","Céret","France","fr","open",42.4859058,2.7484863,48306,6900,55206,56167,23686,79853,50591,21301,71892,43020,28680,71700,47304,16148,63452,52179,25814,77993
"6","5300301","0243049619","Site de la ville","PAYS DE LA LOIRE","MAYENNE",277287315,"Musée des Tisserands Mayennais",NA,"Place Billard de Veaux","53300","Ambrières-les-Vallées","France","fr","open",48.403429,-0.630839047872341,136,171,307,202,113,315,229,122,351,211,14,225,312,40,352,369,43,412
"7","1300101","0442918875","www.aixenprovence.fr/Pavillon-de-Vendome-465","PROVENCE-ALPES-CÔTE D'AZUR","BOUCHES DU RHONE",34505703,"Musée du Pavillon de Vendôme",NA,"Rue Cardinale","13626","Aix-en-Provence","France","fr","open",43.5254678,5.4526102,6742,14364,21106,5488,16006,21494,4435,15085,19520,5274,11739,17013,4850,10312,15162,5158,11392,16550
"8","0608808","0493627240","http://www.nice.fr/fr/culture/musees-et-galerie/palais-lascaris-le-palais","PROVENCE-ALPES-CÔTE D'AZUR","ALPES-MARITIMES",578023554,"Musée du Palais Lascaris","15","Rue Droite","06300","Nice","France","fr","open",43.6974774,7.2772468,20078,32797,52875,24565,15729,40294,15825,15399,31224,17295,11947,29242,0,93178,93178,21295,81225,102520
"9","8313704","0494020201","www.musee-marine.fr/toulon","PROVENCE-ALPES-CÔTE D'AZUR","VAR",842473302,"Musée National de la Marine de Toulon",NA,"Sortie de l'Arsenal","83800","Toulon","France","fr","open",43.12182215,5.92835498379377,26463,30346,56809,30710,24762,55472,23389,34748,58137,21446,36443,57889,21853,35086,56939,25513,39777,65290
"10","8313701","0483954420","www.museum-toulonvar.fr","PROVENCE-ALPES-CÔTE D'AZUR","VAR",145358669,"Muséum d'Histoire Naturelle de Toulon et du Var","737","Chemin du Jonquet","83200","Toulon","France","fr","open",43.1433259,5.91079729714489,0,39299,39299,0,49705,49705,0,43400,43400,0,43744,43744,0,67108,67108,0,77454,77454
"11","0216801","0323690560","www.musee-jean-de-la-fontaine.fr","HAUTS-DE-France","AISNE",5425520722,"Musée Jean de la Fontaine",NA,"Rue Jean De La Fontaine","02400","Château-Thierry","France","fr","open",49.0467222,3.4001157,8088,1509,9597,10557,3292,13849,12038,3040,15078,10481,2353,12834,11956,2216,14172,11841,2145,13986
"12","6811201","0389742289","www.ville-guebwiller.fr/musee-deck/","GRAND EST","HAUT-RHIN",70325197,"Musée Théodore Deck et des Pays du Florival","1","Rue du 4 Février","68500","Guebwiller","France","fr","open",47.90581675,7.21537129481707,1442,3649,5091,1906,4590,6496,791,5094,5885,1534,3961,5495,1206,5122,6328,1335,4594,5929
"13","7510706","0140628425","www.legiondhonneur.fr","ÎLE-DE-France","PARIS",895871273,"Musée National de la Légion d'Honneur et des Ordres de Chevalerie",NA,"Rue de la Légion d'Honneur","75007","Paris","France","fr","open",48.8602845,2.3247488,0,50240,50240,0,50436,50436,0,48651,48651,0,50111,50111,0,58195,58195,0,49531,49531
"14","3155503","0531229540","Site des musées de la région : www.musees-midi-pyrenees.fr/","OCCITANIE","HAUTE-GARONNE",833971998,"Musée Paul Dupuy",NA,"Rue de la Pleau","31000","Toulouse","France","fr","open",43.5969961,1.44691766083441,3842,15216,19058,9439,17343,26782,6680,13268,19948,6490,7695,14185,5031,8326,13357,5547,7923,13470
"15","0608806","0497134680","www.mhnnice.org ou www.nice-coteazur.org","PROVENCE-ALPES-CÔTE D'AZUR","ALPES-MARITIMES",1398474011,"Muséum d'Histoire Naturelle","60","Boulevard Risso","06300","Nice","France","fr","open",43.7019475,7.2797089,1353,1100,2453,1522,4027,5549,1426,2895,4321,1642,3332,4974,0,29527,29527,0,33271,33271
